Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1953-54,13,Real Sociedad,1–1,1–1,0–3,4–4,4–1,2–0,2–1,1–0,2–0,1–2,3–6,1–2,,3–2,0–3,1–0,,,,,,,9,30,11,7,12,40,0.36666666666666664,0.4,0.4444444444444444
1953-54,14,Sevilla,3–1,2–1,3–1,1–0,1–2,3–1,5–2,2–1,2–1,6–3,2–1,2–1,5–0,,1–1,3–1,,,,,,,5,30,15,2,13,47,0.5,0.43333333333333335,0.5222222222222223
1953-54,15,Valencia,3–0,4–1,1–0,5–2,2–0,4–2,4–0,3–0,1–1,8–0,0–0,4–1,4–3,2–3,,3–3,,,,,,,3,30,14,6,10,48,0.4666666666666667,0.3333333333333333,0.5333333333333333
1953-54,16,Valladolid,2–2,1–3,2–2,0–3,2–1,0–2,3–0,3–2,2–1,4–1,4–3,1–1,2–0,1–0,3–2,,,,,,,,12,30,12,5,13,41,0.4,0.43333333333333335,0.45555555555555555
1952-53,1,Atlético Bilbao,,5–0,4–3,5–0,8–2,1–0,6–1,3–3,6–1,2–2,5–2,6–1,6–1,1–1,4–2,3–0,,,,,,,6,30,14,4,12,46,0.4666666666666667,0.4,0.5111111111111111
1952-53,2,Atlético Madrid,2–3,,2–1,4–1,4–1,4–1,1–3,5–1,1–0,1–2,3–0,4–3,4–2,3–3,2–2,4–1,,,,,,,8,30,13,4,13,43,0.43333333333333335,0.43333333333333335,0.4777777777777778
1952-53,3,Barcelona,3–2,6–1,,4–0,4–3,2–1,6–2,4–1,3–1,1–0,3–1,3–0,3–2,2–1,2–1,8–0,,,,,,,1,30,19,4,7,61,0.6333333333333333,0.23333333333333334,0.6777777777777778
1952-53,4,Celta,2–2,3–2,3–3,,2–0,0–1,3–1,3–0,3–0,2–1,1–1,3–0,4–0,1–1,2–0,6–1,,,,,,,13,30,10,5,15,35,0.3333333333333333,0.5,0.3888888888888889
1952-53,5,Deportivo La Coruña,3–2,5–1,1–1,3–2,,2–2,1–0,2–2,5–0,0–2,0–1,1–0,2–0,1–2,1–4,0–0,,,,,,,14,30,9,6,15,33,0.3,0.5,0.36666666666666664
1952-53,6,Español,6–2,2–0,0–2,6–1,7–1,,2–1,3–0,4–0,2–4,3–1,2–0,6–2,2–1,1–0,3–2,,,,,,,4,30,16,4,10,52,0.5333333333333333,0.3333333333333333,0.5777777777777777
1952-53,7,Málaga,1–0,1–3,2–1,2–1,1–2,1–1,,4–2,2–3,6–0,4–2,2–4,0–3,3–3,3–0,1–0,,,,,,,15,30,10,2,18,32,0.3333333333333333,0.6,0.35555555555555557
1952-53,8,Oviedo,2–1,5–0,2–1,4–0,3–3,1–0,6–1,,2–4,3–1,1–3,2–2,2–0,2–3,6–3,3–2,,,,,,,9,30,12,5,13,41,0.4,0.43333333333333335,0.45555555555555555
1952-53,9,Real Gijón,1–2,2–0,0–0,1–1,4–1,1–1,4–0,1–3,,2–1,2–0,1–0,1–0,1–1,1–0,2–3,,,,,,,7,30,11,8,11,41,0.36666666666666664,0.36666666666666664,0.45555555555555555
1952-53,10,Real Madrid,3–2,2–0,2–1,5–1,5–2,1–2,2–0,3–2,2–2,,2–1,5–0,3–2,3–0,3–1,2–1,,,,,,,3,30,18,3,9,57,0.6,0.3,0.6333333333333333
1952-53,11,Real Santander,2–0,3–3,3–3,2–0,3–1,2–1,2–0,0–2,0–1,2–3,,1–1,4–1,1–2,2–2,3–1,,,,,,,11,30,11,5,14,38,0.36666666666666664,0.4666666666666667,0.4222222222222222
1952-53,12,Real Sociedad,3–1,0–2,0–2,7–3,6–1,2–1,4–1,3–2,0–0,3–0,3–1,,1–1,0–0,2–2,1–1,,,,,,,10,30,10,8,12,38,0.3333333333333333,0.4,0.4222222222222222
1952-53,13,Sevilla,1–0,3–1,4–2,4–2,6–2,2–1,2–0,2–1,7–1,2–2,1–2,4–1,,4–2,3–0,5–2,,,,,,,5,30,16,2,12,50,0.5333333333333333,0.4,0.5555555555555556
1952-53,14,Valencia,3–1,1–2,3–2,3–2,1–1,1–1,3–1,4–0,4–0,3–2,7–1,5–2,1–0,,2–0,3–1,,,,,,,2,30,16,8,6,56,0.5333333333333333,0.2,0.6222222222222222
1952-53,15,Valladolid,1–0,4–4,0–1,3–1,4–0,0–1,2–1,1–0,2–2,3–1,1–2,1–2,4–0,2–0,,3–1,,,,,,,12,30,10,5,15,35,0.3333333333333333,0.5,0.3888888888888889
1952-53,16,Zaragoza,2–0,4–2,1–5,3–1,1–2,3–1,0–2,0–0,0–0,0–3,4–0,3–3,1–2,0–2,0–4,,,,,,,,16,30,6,5,19,23,0.2,0.6333333333333333,0.25555555555555554
1951-52,1,Atlético Bilbao,,7–3,3–1,0–3,4–2,4–1,2–1,7–0,4–2,1–1,0–1,4–1,2–0,2–0,1–0,10–1,,,,,,,2,30,17,6,7,57,0.5666666666666667,0.23333333333333334,0.6333333333333333
1951-52,2,Atlético Madrid,1–2,,8–0,1–1,2–1,3–1,3–3,4–0,7–3,3–2,7–2,3–1,2–1,4–0,1–1,2–1,,,,,,,4,30,16,5,9,53,0.5333333333333333,0.3,0.5888888888888889
1951-52,3,Atlético Tetuán,1–2,4–1,,2–5,2–1,2–0,3–3,2–2,3–1,3–3,5–1,3–1,3–4,1–1,2–2,0–1,,,,,,,16,30,7,5,18,26,0.23333333333333334,0.6,0.28888888888888886
1951-52,4,Barcelona,1–0,5–2,3–2,,6–1,6–1,2–0,7–0,9–3,4–2,7–1,3–1,5–3,1–3,0–0,4–1,,,,,,,1,30,19,5,6,62,0.6333333333333333,0.2,0.6888888888888889
1951-52,5,Celta,4–1,0–3,7–0,1–2,,6–1,3–3,5–2,4–1,3–2,3–0,3–1,2–0,1–1,2–1,4–1,,,,,,,9,30,12,3,15,39,0.4,0.5,0.43333333333333335
1951-52,6,Deportivo La Coruña,3–1,1–3,2–3,1–1,3–0,,3–1,3–1,4–1,1–1,2–1,2–1,1–1,3–2,1–1,2–1,,,,,,,11,30,10,5,15,35,0.3333333333333333,0.5,0.3888888888888889
1951-52,7,Español,3–3,3–1,4–1,1–0,0–2,3–1,,2–0,3–0,4–3,4–1,4–1,4–3,2–3,3–0,4–0,,,,,,,7,30,14,4,12,46,0.4666666666666667,0.4,0.5111111111111111
1951-52,8,Las Palmas,1–1,1–3,4–1,0–2,2–1,3–2,1–0,,2–0,1–4,1–1,1–0,1–0,5–3,1–1,4–2,,,,,,,15,30,9,4,17,31,0.3,0.5666666666666667,0.34444444444444444
1951-52,9,Real Gijón,1–1,0–2,3–1,3–2,1–1,0–2,3–1,4–1,,2–3,3–2,2–1,4–0,2–0,1–1,2–2,,,,,,,13,30,10,5,15,35,0.3333333333333333,0.5,0.3888888888888889
1951-52,10,Real Madrid,2–2,2–1,4–2,5–1,4–1,3–2,6–1,5–1,5–1,,2–0,0–0,5–2,3–1,2–0,2–1,,,,,,,3,30,16,6,8,54,0.5333333333333333,0.26666666666666666,0.6
1951-52,11,Real Santander,3–1,2–2,4–0,0–3,3–0,3–1,1–0,4–0,1–2,0–3,,2–4,3–1,2–1,2–2,2–2,,,,,,,14,30,9,7,14,34,0.3,0.4666666666666667,0.37777777777777777
